 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 40 824 5 1 ZTF_g 454415461715 0 1.8357 54.9531 21.9284 25.7335 4.35027e-05 0.0404142 -0.0643985 0.0001195 314 30. 0.044468 0.049661 18.6445 25.7335 2 2458208.915463 824120117 92.4267221607883 93.2719316629526 1.10230399500325 1.01776712928862 -36.2340883342532 171.256345629011 -0.21300306782752 1.06876500492391 null null null null null 2458203.893137 2458231.971505 57
 41 824 5 1 ZTF_g 454435591715 0 1.9501 77.6028 17.2891 26.1155 2.80002e-05 0.0426187 -0.0422001 6.48691e-05 466 30. 0.043668 0.05261 19.272 26.1155 2 2458208.9355903 824120117 -15.7175762643222 79.5531027090573 -0.2197775131193 0.902598454687957 120.449453157144 140.232016208524 0.864714709470422 1.07675900981625 null null null null null 2458203.893137 2458231.971505 57
 42 824 5 1 ZTF_g 454458241715 33554432 1.8145 38.1543 24.8845 25.3079 8.9224e-05 0.0431876 -0.0325068 0.000261472 207 30. 0.051312 0.05225 18.0744 25.3079 2 2458208.9582407 824120117 -13.7829350216183 115.79978827115 -0.132400231506533 1.00672330346242 224.128937342871 205.927451844389 1.09571820857386 1.08250640026316 null null null null null 2458203.893137 2458231.971505 57
 43 824 5 1 ZTF_g 454520721715 0 2.1191 83.4237 15.9858 26.1433 2.32533e-05 0.0393397 -0.0232155 5.40308e-05 478 30. 0.04367 0.052113 19.3084 26.1433 2 2458209.0207292 824120117 0.0645420104068138 73.8200895837838 0.000972574149866413 1.08469967189805 140.788673249236 122.452525651433 1.15748443986606 1.09676832405562 null null null null null 2458203.893137 2458231.971505 57
 44 824 5 1 ZTF_g 456348191715 0 2.4485 73.0861 13.3038 26.0803 2.69524e-05 0.0432931 -0.0854994 6.28102e-05 494 30. 0.048823 0.054948 19.2858 26.0803 1 2458210.8481944 824120117 51.6839644349882 67.7500376290086 0.848596193408683 0.883998684623933 17.7991841404917 113.489572864641 0.157891709497615 1.06398280575376 null null null null null 2458203.893137 2458231.971505 57
 45 824 5 1 ZTF_g 456352531715 0 2.4105 84.1611 12.8753 26.2114 1.83077e-05 0.0381395 -0.068167 3.94095e-05 549 30. 0.045577 0.05244 19.4586 26.2114 2 2458210.8525347 824120117 33.6499603657386 65.3538953407753 0.572753668892678 1.01913298330879 149.898142149875 109.687103416436 1.37580180405255 1.06355865966215 null null null null null 2458203.893137 2458231.971505 57
 46 824 5 1 ZTF_g 456369861715 0 2.2125 83.7816 12.7212 26.2192 1.64577e-05 0.0370272 -0.0688867 3.52224e-05 576 30. 0.048 0.050406 19.5662 26.2192 2 2458210.8698611 824120117 27.3853279559333 57.6158023112375 0.528726567513197 1.03554542280036 -2.7300877685196 99.9564240446994 -0.0274967326310797 1.06260798136748 null null null null null 2458203.893137 2458231.971505 57
 47 824 5 1 ZTF_g 456393711715 0 2.1545 82.836 12.6616 26.1905 1.91496e-05 0.0404593 -0.0583838 3.97645e-05 582 30. 0.045378 0.048158 19.5802 26.1905 1 2458210.8937153 824120117 -29.8660010698869 54.94143040546 -0.604688786871873 1.02422483607236 -39.6349804223854 95.6035150218265 -0.417368799534363 1.06362968748256 null null null null null 2458203.893137 2458231.971505 57
 48 824 5 1 ZTF_g 456394691715 0 2.1394 83.0604 12.6771 26.1795 1.41642e-05 0.0344574 -0.054355 2.93032e-05 580 30. 0.042021 0.048129 19.5908 26.1795 2 2458210.8946991 824120117 50.1686479197221 58.2458038919767 0.958125842508881 0.92820505240077 34.6846465618118 102.658440545807 0.340140074857292 1.06112586182464 null null null null null 2458203.893137 2458231.971505 57
 49 824 5 1 ZTF_g 456396661715 0 2.2385 83.093 12.6119 26.1776 1.82495e-05 0.0393703 -0.0529287 3.82619e-05 579 30. 0.041902 0.0485 19.5461 26.1776 2 2458210.8966667 824120117 -53.6250573898126 57.7044057644536 -1.03374541902452 0.992779504028698 -92.4509630907384 99.8785570714537 -0.931867944184725 1.06410856440091 null null null null null 2458203.893137 2458231.971505 57
 50 824 5 1 ZTF_g 456423581715 0 2.2206 86.9 12.0419 26.229 1.5416e-05 0.0367736 -0.0554246 3.16204e-05 602 30. 0.044106 0.047544 19.6752 26.229 2 2458210.923588 824120117 -32.6919750132254 55.3192033128212 -0.657385381765415 0.945407639154795 -195.362032475103 96.6515223207209 -2.03491680504855 1.06559989390981 null null null null null 2458203.893137 2458231.971505 57
 51 824 5 1 ZTF_g 456457411715 0 2.0295 87.8511 11.5534 26.25 1.4426e-05 0.0360638 -0.0512472 2.86132e-05 609 30. 0.041091 0.049054 19.8065 26.25 2 2458210.957419 824120117 78.1507041819313 51.1082706519845 1.70096943863727 1.03123880501865 156.48147952737 89.5982268707006 1.75824228667464 1.06445985489502 null null null null null 2458203.893137 2458231.971505 57
 52 824 5 1 ZTF_g 457368761715 0 3.134 84.7457 11.5717 26.1998 2.46108e-05 0.040657 -0.0277905 5.7019e-05 480 30. 0.058334 0.062159 19.3674 26.1998 2 2458211.8687616 824120117 -30.321778638114 70.8938515550857 -0.475774216160031 1.07874773397928 -19.1545205083867 100.960206148586 -0.191001267149595 1.12242833430821 null null null null null 2458203.893137 2458231.971505 57
 53 824 5 1 ZTF_g 457383911715 0 2.9841 85.1809 11.4487 26.2094 2.20784e-05 0.0390882 -0.0360812 5.03083e-05 499 30. 0.053739 0.059616 19.4233 26.2094 2 2458211.883912 824120117 110.611661918123 66.5902118561978 1.84775898194221 0.992569635636207 76.9804285677616 96.2420363500171 0.805249962722902 1.11521471523109 null null null null null 2458203.893137 2458231.971505 57
 54 824 5 1 ZTF_g 457411301715 0 3.5656 85.9123 11.4192 26.2183 3.21837e-05 0.041773 -0.0422738 8.09662e-05 415 30. 0.064295 0.070019 19.2977 26.2183 2 2458211.9113079 824120117 12.2957059700195 78.9569230988827 0.173227985337742 1.08042576198048 27.3861564462171 104.293256894955 0.264356532784393 1.17561747041609 null null null null null 2458203.893137 2458231.971505 57
 55 824 5 1 ZTF_g 457437501715 0 3.0704 86.9853 11.2765 26.23 2.18111e-05 0.0388148 -0.0330293 5.09733e-05 500 30. 0.057354 0.059682 19.4454 26.23 2 2458211.9375 824120117 20.9569302124883 73.0603223598711 0.319080955709001 1.01479096428735 -28.8611135142599 103.739790401815 -0.280080523218327 1.12861926628669 null null null null null 2458203.893137 2458231.971505 57
