reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1745119,296.9899108,3.9450552,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:14:17,2024-06-07 14:19:36,2,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745119_lc.txt
1745120,139.1750924,18.9650336,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:15:16,2024-06-07 14:18:41,15,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745120_lc.txt
1745121,201.2416019,-24.1807848,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:16:10,2024-06-07 14:17:07,11,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745121_lc.txt
1745122,227.3563931,25.4715426,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:16:25,2024-06-07 14:29:39,2,0,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745122_lc.txt
1745123,358.8653687,-34.8748441,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:16:50,2024-06-07 14:16:50,15,63,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745123_lc.txt
1745124,95.3950463,-27.2148625,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:16:51,2024-06-07 14:22:07,15,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745124_lc.txt
1745125,167.9824907,3.133703,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:17:09,2024-06-07 14:25:23,11,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745125_lc.txt
1745126,186.0786118,10.4462823,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:17:37,2024-06-07 14:31:13,8,55,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745126_lc.txt
1745127,203.1880694,-13.0471605,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:17:40,2024-06-07 14:24:08,9,55,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745127_lc.txt
1745128,64.1733931,-12.1835627,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:18:09,2024-06-07 14:30:24,4,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745128_lc.txt
1745129,175.2831991,24.819698,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:18:20,2024-06-07 14:43:03,14,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745129_lc.txt
