#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59711o0173o,170.4280907,34.3583146,>19.060058036763515,0.0,1.29,o,22.169,59711.31416105,8655.78,1586.97,238.0,176.4,20.7,16.1,175.0,115.2,1219.3,1.26,2.71,2.57,1.0,3.0,-0.4827,36.917433813866246,28.71355963300708,18.52,30.0
01a59711o0185o,170.4280907,34.3583146,>19.68,0.0,3.0,o,22.201,59711.31996415,8640.8,1706.52,172.0,178.7,-13.4,15.0,177.9,-1331.9,1081.2,0.99,2.68,2.53,1.0,3.0,-0.4927,-22.799160654483583,25.521448493824902,18.71,30.0
01a59712o0265o,170.4280907,34.3583146,>18.25,0.0,3.0,o,22.009,59712.34937625,4385.75,7586.19,170.0,185.7,9.3,44.9,180.2,996.1,2844.1,0.98,2.74,2.58,1.0,3.0,-0.4957,19.74294622543278,95.31809521741205,18.12,30.0
01a59712o0272o,170.4280907,34.3583146,>19.0,0.0,3.0,o,22.121,59712.35260275,4406.4,7626.19,107.0,179.5,-8.9,24.6,179.2,100.5,1624.0,1.12,2.76,2.61,1.0,3.0,-0.4897,-17.27023874508767,47.735716081927734,18.44,30.0
01a59712o0288o,170.4280907,34.3583146,>18.9,0.0,3.0,o,22.119,59712.36010055,4348.38,7550.78,117.0,178.6,-22.9,27.9,181.2,269.0,1858.2,0.88,2.7,2.58,1.0,3.0,-0.4877,-42.97122136420287,52.35358410747861,18.45,30.0
01a59712o0317o,170.4280907,34.3583146,>18.84,0.0,3.0,o,22.114,59712.37395095,4334.24,7669.24,90.0,179.6,-14.1,29.2,179.8,368.0,1980.5,1.12,2.72,2.56,1.0,3.0,-0.4877,-26.569704679434935,55.023785577269514,18.46,30.0
04a59713o0191o,170.4280907,34.3583146,>18.64,0.0,3.0,o,21.803,59713.03120545,7165.3,10052.5,221.0,179.5,-9.1,22.0,186.9,3382.3,1676.1,0.88,3.13,2.68,1.0,3.0,-0.3427,-24.070176185619783,58.19163473446541,17.78,30.0
04a59713o0197o,170.4280907,34.3583146,>18.64,0.0,3.0,o,21.804,59713.03397435,7188.68,10089.0,161.0,184.8,-8.9,22.1,185.0,-1313.0,1646.3,1.06,3.11,2.69,1.0,3.0,-0.3297,-23.177224152587748,57.55243300811116,17.81,30.0
04a59713o0210o,170.4280907,34.3583146,>18.78,0.0,3.0,o,21.807,59713.03997875,7134.92,10007.4,159.0,183.1,-26.5,25.8,190.6,-777.9,1682.3,0.85,2.75,2.3,1.0,3.0,-0.3607,-53.53837053078454,52.124149422424196,17.89,30.0
04a59713o0233o,170.4280907,34.3583146,>18.65,0.0,3.0,o,21.802,59713.05057095,7125.1,10115.7,256.0,182.6,20.4,24.1,182.0,-170.0,1652.6,1.06,2.98,2.53,1.0,3.0,-0.3337,48.142173971731566,56.873842780329944,17.82,30.0
02a59714o0287o,170.4280907,34.3583146,>19.61,0.0,3.0,o,22.102,59714.36368605,5433.85,879.63,211.0,186.7,14.1,19.8,190.0,5412.1,1486.6,1.08,2.37,2.11,1.0,3.0,-0.4347,18.374209306019235,25.802081153133397,18.62,30.0
02a59714o0298o,170.4280907,34.3583146,>19.270296241295167,0.0,1.96,o,22.101,59714.36876225,5415.26,840.04,246.0,194.7,44.2,22.5,195.2,1253.7,1309.4,1.07,2.12,1.86,1.0,3.0,-0.4577,46.43332885050825,23.63687554607321,18.78,30.0
02a59714o0305o,170.4280907,34.3583146,>19.69,0.0,3.0,o,22.098,59714.37196165,5475.25,918.26,200.0,184.7,4.3,22.3,182.1,145.6,1258.2,1.15,2.16,1.9,1.0,3.0,-0.4507,4.684190543212799,24.292430026429173,18.69,30.0
02a59714o0342o,170.4280907,34.3583146,>19.58,0.0,3.0,o,22.092,59714.38888875,5496.16,799.75,212.0,189.4,-1.9,23.4,198.4,7637.3,1501.8,0.69,2.21,1.95,1.0,3.0,-0.4497,-2.183429789492267,26.89066161795739,18.64,30.0
01a59715o0230o,170.4280907,34.3583146,>19.06,0.0,3.0,o,22.194,59715.33552955,4382.77,7585.94,190.0,182.0,7.3,26.0,178.0,-863.0,2017.6,1.09,2.7,2.55,1.0,3.0,-0.4957,12.72874393942435,45.33525238699083,18.56,30.0
01a59715o0239o,170.4280907,34.3583146,>18.99,0.0,3.0,o,22.193,59715.33967885,4404.43,7625.28,150.0,181.7,9.9,26.8,182.8,-1050.3,1893.3,1.13,2.75,2.59,1.0,3.0,-0.4867,17.726638891163756,47.987264877089764,18.58,30.0
01a59715o0253o,170.4280907,34.3583146,>18.98,0.0,3.0,o,22.188,59715.34613985,4344.64,7548.85,129.0,179.7,6.5,28.7,179.9,-1386.8,1992.5,1.07,2.59,2.59,1.0,3.0,-0.5067,11.216868541227415,49.5267887897272,18.55,30.0
01a59715o0301o,170.4280907,34.3583146,>18.96,0.0,3.0,o,22.188,59715.36886045,4332.74,7669.08,88.0,178.6,-51.9,26.7,182.0,1400.2,2097.0,1.05,2.77,2.65,1.0,3.0,-0.4697,-94.72219341148293,48.72991452960684,18.49,30.0
01a59716o0100o,170.4280907,34.3583146,>19.23,0.0,3.0,o,22.129,59716.29887865,4373.21,7580.4,219.0,178.5,5.6,19.9,181.0,51.4,1559.3,1.03,2.83,2.56,1.0,3.0,-0.4957,10.908704388931874,38.76486023924006,18.61,30.0
01a59716o0109o,170.4280907,34.3583146,>19.12,0.0,3.0,o,22.111,59716.30315575,4394.9,7619.97,232.0,183.1,17.8,22.3,180.3,2287.2,1539.4,1.63,2.79,2.52,1.0,3.0,-0.5017,34.40198416740764,43.099114996246655,18.53,30.0
01a59716o0155o,170.4280907,34.3583146,>19.47,0.0,3.0,o,22.169,59716.33523445,4342.73,7548.55,135.0,180.2,-15.4,17.4,180.8,-823.8,1561.9,1.1,2.74,2.53,1.0,3.0,-0.4957,-27.666266122529933,31.25928769688447,18.73,30.0
01a59716o0193o,170.4280907,34.3583146,>19.43,0.0,3.0,o,22.179,59716.35443795,4326.43,7667.22,180.0,179.1,-0.2,17.4,177.2,150.7,1330.5,1.3,2.85,2.53,1.0,3.0,-0.5017,-0.3723523697279708,32.39465616633346,18.69,30.0
02a59717o0269o,170.4280907,34.3583146,>20.02,0.0,3.0,o,22.088,59717.35926985,5433.42,877.56,122.0,186.0,-27.4,17.3,188.4,3030.4,838.4,1.18,2.09,1.85,1.0,3.0,-0.4477,-28.302664457366006,17.869930478555915,19.09,30.0
