objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2007bd, 127.888667, -1.199444, 0.0309, 0.030934906774262805, 1197.53, 1259.46, CSP, 35.61224820983395, 0.02047669145615292, 0.8827780615655407, 0.006107008893240256, 1207.3389256711482, 0.053719881224400495, 0.036839967678746435, 0.007702916858585914, 10.638096124340995, 0.001086444267768327
2006is, 79.393208, -23.781722, 0.031, 0.029767844804100108, 1008.9, 1125.67, CSP, 35.92931345152544, 0.03679008255999439, 1.3242906564214112, 0.01390081549636187, 1005.6572888347378, 0.37858611233022216, -0.1872718462208114, 0.017974013515437388, 8.029056816690083, 0.023538324305404885
2008bc, 144.630125, -63.973778, 0.0151, 0.01616137279347374, 1541.67, 1646.46, CSP, 34.10211398639902, 0.011892470659270037, 1.0589650229951082, 0.006333565737226768, 1550.0422233245301, 0.038827537396011094, -0.003475522006758066, 0.0036021698390006664, 0.0, 0.0
2007mm, 16.444458, -0.758833, 0.0664, 0.06672266372055202, 1385.72, 1418.69, CSP, 36.97527529527879, 0.07488397571172271, 0.5446868503699962, 0.025676021244885845, 1392.7543207305187, 0.2517355546293881, 0.2894787367945135, 0.041707514226141544, 9.37688091226328, 0.007453549893324646
2008C, 104.298042, 20.437139, 0.0166, 0.017817711337278386, 1469.81, 1552.5, CSP, 34.02210702842848, 0.02860443799752978, 0.9383659573204799, 0.013982948144415374, 1466.7647518902209, 0.36062477969157924, 0.24859473615922217, 0.01069632037748162, 10.028240434860418, 0.0010325410340992131
2004dt, 30.553208, -0.097639, 0.0197, 0.020792262961228714, 249.79, 365.62, CSP, 33.91161440275553, 0.03567758296997785, 0.9093429005648566, 0.011283970696370327, 236.49231962692545, 0.45045939858898715, 0.04274049389496238, 0.01806123131340758, 9.894124914800818, 0.005391433500817889
2006br, 202.5075, 13.415778, 0.0246, 0.02575287744657362, 855.66, 891.66, CSP, 34.98416639867244, 0.13871214122230852, 1.1008610381832757, 0.061086926740365914, 848.9475409847222, 0.5907025449911941, 0.8776178803588622, 0.04483619091608691, 11.11960854686434, 0.006792568669265763
2005ag, 224.181875, 9.328472, 0.0797, 0.08073192770838644, 412.82, 480.84, CSP, 37.80796742127304, 0.017060027725378513, 1.1890089428316277, 0.007457237577896787, 413.9921281770679, 0.10641532003342379, -0.008650989559756206, 0.006053555431574094, 10.925112928401077, 0.0019752075735155416
2007sr, 180.47, -18.972694, 0.0055, 0.006582603933460218, 1454.84, 1955.57, CSP, 31.419482119020834, 0.012739885661446754, 0.997079079566931, 0.006421227556285671, 1448.5871137046888, 0.1309520380969652, 0.17138598195064556, 0.004811028510232769, 0.0, 0.0
2009ad, 75.889083, 6.659917, 0.0284, 0.02950285892803528, 1878.6, 1921.53, CSP, 35.26413820415995, 0.014013340834073688, 1.0051550969949155, 0.005720150688470448, 1886.8825159076168, 0.045721722799362964, 0.06141597191088768, 0.004415269808507836, 10.572115334741166, 0.0016543456909347244
2006et, 10.690917, -23.558444, 0.0226, 0.021841031404957745, 982.63, 1099.54, CSP, 34.61191144911506, 0.01506771812021275, 1.1663605585586978, 0.007894196810275724, 994.2741387652188, 0.042689901262609006, 0.19817975522678297, 0.00543185287737819, 10.743674520559422, 0.0005834478835465598
2009P, 170.161583, -3.546194, 0.0251, 0.024376987385939186, 1867.74, 1931.61, CSP, 34.930950218614356, 0.06459956328797362, 1.110895417889097, 0.03709046542920145, 1868.4000359771305, 0.35718788508164295, 0.383579824624539, 0.020870353989479326, 9.7634902954309, 0.001489549641911028
2004ef, 340.54175, 19.994556, 0.031, 0.031909213493452215, 255.69, 329.57, CSP, 35.379294266740544, 0.010145331011077615, 0.8153870016379422, 0.003517274990101217, 264.91241124590954, 0.030139292180699124, 0.1564722657410508, 0.004143983139891767, 11.171477203958151, 0.0011960801888627102
2006os, 43.754583, 16.009667, 0.0328, 0.032753862875478656, 1063.65, 1133.56, CSP, 35.26642521459157, 0.027879617971120287, 0.9168854462411277, 0.013256303864587291, 1065.2963984074981, 0.2962489270241709, 0.43874719055408334, 0.010512276221090503, 10.76654740701287, 0.001213976022382484
2009le, 32.321417, -23.412444, 0.0178, 0.01780956856366056, 2153.53, 2169.58, CSP, 34.15755392054553, 0.026008800361797924, 1.1303883916168902, 0.02784305785465343, 2166.299483320042, 0.10357657007932974, 0.1525766073725921, 0.008604044013749507, 0.0, 0.0
