# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2007jh, 54.006401, 1.103365, 0.04074, 0.04023, nan, nan, PanPlus, 36.5204, 0.1333, 0.00107464, 6.04814e-05, -1.965, 0.0987996, 54365.777, 0.024, 0.22135, 0.0279802, 1.53, nan, 10.84, 0.16
2008go, 332.686798, -20.788111, 0.06227, 0.06116, nan, nan, PanPlus, 37.0214, 0.1259, 0.00139814, 3.72844e-05, -0.76724, 0.24644, 54766.547, 0.149, 0.00773275, 0.0231602, 1.5, nan, 10.7539, 0.16
2006gt, 14.07208, -1.62944, 0.0448, 0.04366, nan, nan, PanPlus, 36.614, 0.1285, 0.0012226, 3.39286e-05, -2.07331, 0.0722119, 54003.219, 0.116, 0.11518, 0.0239466, 1.25, nan, 9.98853, 0.13
2006kf, 55.460331, 8.15694, 0.02004, 0.01955, nan, nan, PanPlus, 34.7792, 0.1611, 0.00981388, 0.00120664, -2.07315, 0.0561379, 54041.734, 0.072, -0.0328622, 0.0378652, 1.33, nan, 11.0165, 0.02
2006eq, 322.154694, 1.228107, 0.04941, 0.04825, nan, nan, PanPlus, 36.7054, 0.1309, 0.00120634, 4.34629e-05, -2.07029, 0.0674691, 53974.715, 0.009, 0.0893413, 0.0284964, 0.39, nan, 9.88138, 0.05
2007ux, 152.333252, 14.99244, 0.0307, 0.03183, nan, nan, PanPlus, 35.8949, 0.1328, 0.00276831, 8.67342e-05, -1.94833, 0.0542844, 54465.242, 0.171, 0.0731075, 0.0235629, 0.35, nan, 10.0948, 0.01
2001N, 159.992004, 24.090561, 0.02103, 0.0221, nan, nan, PanPlus, 34.8648, 0.1509, 0.00563454, 0.000294737, -0.0570752, 0.20336, 51929.285, 0.957, 0.24386, 0.0296317, -0.02, nan, 9.34165, 0.089
2001en, 21.345421, 34.025139, 0.01629, 0.01535, nan, nan, PanPlus, 33.9612, 0.1732, 0.0201901, 0.000818471, -0.966655, 0.0564482, 52193.539, 0.147, 0.0241059, 0.0285311, 0.36, nan, 9.47732, 0.078
2001ie, 154.211243, 60.27903, 0.03061, 0.03109, nan, nan, PanPlus, 35.7525, 0.146, 0.00515001, 0.000221306, -0.591467, 0.11866, 52252.047, 0.525, -0.0447996, 0.0302982, 0.03, nan, 10.7517, 0.028
2002G, 196.980255, 34.08514, 0.03549, 0.03633, nan, nan, PanPlus, 35.9378, 0.1675, 0.00205755, 0.000114666, -1.18865, 0.43325, 52299.801, 0.501, 0.2117, 0.0394406, 0.55, nan, 10.5613, 0.021
2002bf, 153.926285, 55.66853, 0.02438, 0.02494, nan, nan, PanPlus, 35.0427, 0.1746, 0.00860235, 0.00121985, -2.28577, 0.30614, 52338.328, 0.943, -0.0929572, 0.0914885, 0.49, nan, 10.3104, 0.031
2002bz, 216.168823, 26.62631, 0.03722, 0.03791, nan, nan, PanPlus, 36.1549, 0.1491, 0.00385592, 0.000302239, -1.14132, 0.22728, 52366.82, 0.974, -0.126443, 0.0448615, -0.05, nan, 10.8711, 0.118
2002eu, 27.431669, 32.628609, 0.03763, 0.03672, nan, nan, PanPlus, 36.0311, 0.1867, 0.0026838, 0.000283903, -1.86668, 0.36651, 52518.133, 0.374, 0.04392, 0.0774775, 0.21, nan, 10.5735, 0.417
2003U, 260.690247, 62.164001, 0.02811, 0.02794, nan, nan, PanPlus, 35.35, 0.1497, 0.00571064, 0.000216147, -2.11189, 0.31833, 52677.461, 0.144, -0.0244557, 0.0335152, 0.57, nan, 10.2925, 0.041
