# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2010ii, 339.554932, 35.491669, 0.02691, 0.02581, nan, nan, PanPlus, 35.1824, 0.1452, 7.60180e-03, 0.000395771, -1.63020e+00, 0.18104, 55481.062, 0.125, -7.48408e-02, 0.0306841, 1.02, nan, 7.97988, 0.002
2011by, 178.939621, 55.325562, 0.00400, 0.00456, nan, nan, PanPlus, 31.9004, 0.419, 0.15833, 0.00340317, -3.28218e-01, 0.0443308, 55690.926, 0.034, 1.80991e-02, 0.0189352, 0.92, nan, 10.31600, 0.002
2011dl, 244.520706, 21.551109, 0.03411, 0.03432, nan, nan, PanPlus, 35.9376, 0.1376, 3.14746e-03, 0.000157628, 0.59284, 0.19395, 55738.684, 0.343, 0.13028, 0.0302013, 0.22, nan, 9.08368, 0.07
2012bh, 183.405457, 46.483471, 0.02524, 0.02597, nan, nan, PanPlus, 35.3247, 0.1686, 7.41680e-03, 0.000618024, -4.32765e-01, 0.26458, 56016.605, 1.91, -4.26316e-02, 0.0461884, -0.00, nan, 8.41938, 0.003
2012cg, 186.803467, 9.420330, 0.00238, 0.00350, nan, nan, PanPlus, 30.9105, 0.5406, 0.33360, 0.00721946, 0.49927, 0.0235529, 56082.363, 0.028, 0.10927, 0.0181195, 0.04, nan, 9.67100, 0.002
2013bs, 259.341797, 41.066719, 0.02761, 0.02749, nan, nan, PanPlus, 35.5185, 0.1446, 5.19824e-03, 0.000184123, -1.54358e+00, 0.0898296, 56406.426, 0.217, -1.68391e-02, 0.0302082, 2.45, nan, 10.80220, 0.002
2013dy, 334.573334, 40.569328, 0.00571, 0.00470, nan, nan, PanPlus, 31.6486, 0.4111, 0.18850, 0.0140463, 0.88103, 0.0235387, 56501.453, 0.028, 8.89057e-02, 0.0241471, 0.07, nan, 9.27600, 0.002
2013gq, 124.472748, 23.469580, 0.01349, 0.01426, nan, nan, PanPlus, 33.8585, 0.1754, 3.13953e-02, 0.00115436, -7.04517e-01, 0.0768101, 56384.723, 0.096, -8.59633e-02, 0.0219251, 0.07, nan, 10.89310, 0.002
2014ai, 139.934036, 33.763721, 0.02248, 0.02332, nan, nan, PanPlus, 35.1198, 0.1682, 6.35956e-03, 0.000293332, -1.02219e+00, 0.25461, 56745.594, 0.353, 7.44093e-02, 0.0379903, 0.52, nan, 11.51440, 0.002
2016coj, 182.028152, 65.177238, 0.00452, 0.00489, nan, nan, PanPlus, 32.0207, 0.3335, 0.13617, 0.00296476, -1.68581e+00, 0.038805, 57547.941, 0.039, -4.55235e-02, 0.0197054, 0.01, nan, 11.03600, 0.002
2016fbk, 26.027239, 34.382690, 0.03587, 0.03496, nan, nan, PanPlus, 36.0527, 0.1356, 2.85105e-03, 0.000106104, -4.76814e-01, 0.1135, 57626.184, 0.217, 8.80416e-02, 0.0286116, 0.14, nan, 10.76500, 0.002
2016ffh, 227.956146, 46.251003, 0.01819, 0.01851, nan, nan, PanPlus, 34.7197, 0.1614, 1.04776e-02, 0.000347553, -6.15303e-01, 0.14607, 57631.477, 0.205, 4.54904e-02, 0.0291576, 1.70, nan, 10.18990, 0.002
2018dem, 317.993866, -0.218110, 0.05977, 0.05864, nan, nan, PanPlus, 37.4006, 0.1553, 1.19382e-03, 7.71767e-05, -2.15224e-01, 0.37097, 58302.930, 0.084, -5.90921e-02, 0.0466462, 4.21, nan, 9.82164, 0.003
2011dn, 299.648041, 2.604530, 0.02527, 0.02443, nan, nan, PanPlus, 34.8482, 0.1641, 1.38835e-02, 0.00125827, 0.10887, 0.21205, 55744.320, 0.161, -9.32398e-02, 0.0387716, 4.49, nan, 9.15925, 0.013
