#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59625o0029o,45.8799816666667,27.6821929166667,>19.28,0.0,3.0,o,22.116,59625.25881835,468.4,10523.2,140.0,161.1,-22.5,30.0,190.2,-12387.5,2392.6,1.53,2.32,1.95,1.0,3.0,-0.4457,-26.45232559250873,35.26976745667831,18.86,30.0
02a59625o0030o,45.8799816666667,27.6821929166667,None,None,None,o,22.12,59625.25927455,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4427,None,None,18.85,30.0
02a59625o0047o,45.8799816666667,27.6821929166667,>19.86,0.0,3.0,o,22.113,59625.26721525,3057.11,258.65,166.0,184.0,-0.4,15.5,186.4,1779.7,1086.0,1.38,2.43,2.12,1.0,3.0,-0.4477,-0.5379734849177281,20.846472540561958,18.77,30.0
02a59625o0054o,45.8799816666667,27.6821929166667,>19.84,0.0,3.0,o,22.111,59625.27047445,3076.65,140.74,169.0,185.2,13.6,17.3,189.4,1891.2,1133.9,1.26,2.33,2.0,1.0,3.0,-0.4467,16.56088610331922,21.066421293192832,18.82,30.0
02a59625o0055o,45.8799816666667,27.6821929166667,>19.71,0.0,3.0,o,22.112,59625.27093125,489.14,10402.4,182.0,190.6,5.1,19.8,196.4,7580.7,1168.5,1.41,2.31,1.99,1.0,3.0,-0.4457,6.114965028949518,23.740452465333423,18.82,30.0
02a59625o0056o,45.8799816666667,27.6821929166667,>19.56,0.0,3.0,o,22.116,59625.27138885,10381.7,10458.8,149.0,168.8,6.1,23.6,169.4,881.7,1287.0,0.78,2.28,1.96,1.0,3.0,-0.5147,7.5488274535320405,29.2052996562879,18.87,30.0
02a59626o0157o,45.8799816666667,27.6821929166667,None,None,None,o,22.098,59626.28931295,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4357,None,None,18.65,30.0
02a59626o0178o,45.8799816666667,27.6821929166667,>19.069318256788875,0.0,2.76,o,22.092,59626.29893235,19.97,4283.5,86.0,123.4,57.4,20.8,47.5,-34896.1,2138.1,1.35,2.42,2.15,1.0,3.0,-0.4407,78.98133379069667,28.62041363844061,18.57,30.0
02a59626o0191o,45.8799816666667,27.6821929166667,>19.57,0.0,3.0,o,22.092,59626.30492815,9971.28,4278.29,148.0,182.0,-20.6,20.0,181.2,-1351.4,1094.6,1.33,2.41,2.12,1.0,3.0,-0.4387,-27.78298274219241,26.973769652613992,18.59,30.0
02a59626o0198o,45.8799816666667,27.6821929166667,>19.54,0.0,3.0,o,22.09,59626.30814775,9951.85,4239.01,142.0,183.7,2.1,20.3,175.6,-597.1,1452.4,1.11,2.41,2.15,1.0,3.0,-0.4427,2.888241756725135,27.919670315009633,18.57,30.0
02a59626o0200o,45.8799816666667,27.6821929166667,>18.859618043624234,0.0,2.47,o,22.085,59626.30906175,40.77,4165.88,88.0,130.3,60.8,24.6,71.5,-35624.3,1603.1,1.51,2.42,2.18,1.0,3.0,-0.4397,85.29708393724904,34.511649093031686,18.5,30.0
02a59626o0211o,45.8799816666667,27.6821929166667,>19.51,0.0,3.0,o,22.085,59626.31409225,10010.5,4317.56,127.0,187.3,-26.1,20.5,191.5,687.7,1288.0,1.26,2.42,2.16,1.0,3.0,-0.4427,-36.38047538865125,28.574702891469368,18.57,30.0
02a59626o0233o,45.8799816666667,27.6821929166667,>19.54,0.0,3.0,o,22.079,59626.32420125,10031.7,4200.82,178.0,184.4,5.1,21.4,178.9,1267.3,1212.0,1.54,2.34,2.07,1.0,3.0,-0.4417,6.617822647803148,27.768902875095563,18.55,30.0
01a59627o0074o,45.8799816666667,27.6821929166667,>19.43,0.0,3.0,o,22.171,59627.29119385,9608.61,2466.81,127.0,174.2,-15.0,13.5,173.2,704.8,1147.8,1.24,3.14,2.95,1.0,3.0,-0.4527,-34.546310203568794,31.09167918321191,18.45,30.0
01a59627o0081o,45.8799816666667,27.6821929166667,>19.36,0.0,3.0,o,22.171,59627.29440965,9628.58,2505.77,160.0,175.0,7.3,15.3,173.4,-152.0,1329.9,0.91,3.05,2.86,1.0,3.0,-0.4617,15.964211684771527,33.45923818863074,18.42,30.0
01a59627o0093o,45.8799816666667,27.6821929166667,>19.4,0.0,3.0,o,22.167,59627.29992225,9570.83,2431.31,82.0,171.6,-3.4,14.4,169.4,300.8,1071.0,1.32,3.08,2.89,1.0,3.0,-0.4657,-7.643393551224287,32.37201974636169,18.4,30.0
